"強度
\
波段",blue sky,,
,,Algorithm,Regression
644,0.1206,0.0697,0.0766
645,0.12,0.0702,0.077
646,0.1196,0.0708,0.0774
647,0.1192,0.0714,0.0779
648,0.1188,0.072,0.0783
649,0.1184,0.0725,0.0788
650,0.118,0.0731,0.0792
651,0.1174,0.0738,0.0798
652,0.1168,0.0745,0.0803
653,0.1162,0.0753,0.0809
654,0.1156,0.076,0.0815
655,0.115,0.0767,0.0821
656,0.1144,0.0774,0.0826
657,0.1138,0.078,0.0831
658,0.1132,0.0787,0.0837
659,0.1126,0.0794,0.0842
660,0.112,0.0801,0.0847
661,0.1116,0.0807,0.0853
662,0.1112,0.0814,0.0858
663,0.1108,0.0821,0.0863
664,0.1104,0.0828,0.0868
665,0.11,0.0835,0.0874
666,0.1096,0.0841,0.0878
667,0.1092,0.0847,0.0883
668,0.1088,0.0853,0.0888
669,0.1084,0.086,0.0892
670,0.108,0.0866,0.0897
671,0.1076,0.0871,0.0901
672,0.1072,0.0877,0.0905
673,0.1068,0.0882,0.0909
674,0.1064,0.0888,0.0913
675,0.106,0.0894,0.0917
676,0.1058,0.0899,0.092
677,0.1056,0.0904,0.0924
678,0.1054,0.0909,0.0927
679,0.1052,0.0914,0.093
680,0.105,0.092,0.0934
681,0.1048,0.0925,0.0937
682,0.1046,0.0931,0.094
683,0.1044,0.0936,0.0944
684,0.1042,0.0942,0.0947
685,0.104,0.0947,0.0951
686,0.104,0.0952,0.0954
687,0.104,0.0958,0.0957
688,0.104,0.0963,0.096
689,0.104,0.0969,0.0964
690,0.104,0.0974,0.0967
691,0.1038,0.0981,0.0971
692,0.1036,0.0987,0.0975
693,0.1034,0.0994,0.0979
694,0.1032,0.1,0.0982
695,0.103,0.1007,0.0986
696,0.103,0.1014,0.099
697,0.103,0.102,0.0994
698,0.103,0.1027,0.0998
699,0.103,0.1033,0.1002
700,0.103,0.104,0.1006
701,0.1028,0.1046,0.101
702,0.1026,0.1053,0.1014
703,0.1024,0.106,0.1018
704,0.1022,0.1067,0.1022
705,0.102,0.1073,0.1027
706,0.102,0.1078,0.1029
707,0.102,0.1083,0.1032
708,0.102,0.1088,0.1035
709,0.102,0.1093,0.1038
710,0.102,0.1098,0.1041
711,0.102,0.1103,0.1045
712,0.102,0.1109,0.1049
713,0.102,0.1114,0.1052
714,0.102,0.1119,0.1056
715,0.102,0.1125,0.106
716,0.102,0.113,0.1064
717,0.102,0.1136,0.1068
718,0.102,0.1142,0.1073
719,0.102,0.1147,0.1077
720,0.102,0.1153,0.1081
721,0.102,0.116,0.1086
722,0.102,0.1167,0.1092
723,0.102,0.1174,0.1097
724,0.102,0.1181,0.1103
725,0.102,0.1188,0.1108
726,0.102,0.1195,0.1114
727,0.102,0.1202,0.112
728,0.102,0.1209,0.1126
729,0.102,0.1216,0.1132
730,0.102,0.1224,0.1138
731,0.1024,0.1234,0.1147
732,0.1028,0.1244,0.1156
733,0.1032,0.1254,0.1164
734,0.1036,0.1264,0.1173
735,0.104,0.1274,0.1182
736,0.104,0.1287,0.1193
737,0.104,0.1299,0.1204
738,0.104,0.1311,0.1215
739,0.104,0.1324,0.1226
740,0.104,0.1336,0.1236
741,0.104,0.1349,0.1249
742,0.104,0.1362,0.1261
743,0.104,0.1375,0.1273
744,0.104,0.1388,0.1285
745,0.104,0.1401,0.1297
746,0.104,0.1417,0.1311
747,0.104,0.1433,0.1326
748,0.104,0.1449,0.134
749,0.104,0.1465,0.1354
750,0.104,0.1481,0.1369
751,0.1044,0.1499,0.1385
752,0.1048,0.1516,0.1401
753,0.1052,0.1534,0.1417
754,0.1056,0.1552,0.1434
755,0.106,0.157,0.145
756,0.106,0.1589,0.1467
757,0.106,0.1608,0.1484
758,0.106,0.1627,0.1502
759,0.106,0.1646,0.1519
760,0.106,0.1665,0.1536
761,0.1062,0.1678,0.1548
762,0.1064,0.1691,0.156
763,0.1066,0.1703,0.1571
764,0.1068,0.1716,0.1583
765,0.107,0.1729,0.1595
766,0.1076,0.1734,0.1601
767,0.1082,0.1739,0.1607
768,0.1088,0.1745,0.1613
769,0.1094,0.175,0.162
770,0.11,0.1755,0.1626
771,0.111,0.1763,0.1634
772,0.112,0.1771,0.1643
773,0.113,0.1779,0.1651
774,0.114,0.1787,0.1659
775,0.115,0.1795,0.1668
776,0.116,0.1806,0.1678
777,0.117,0.1816,0.1688
778,0.118,0.1827,0.1698
779,0.119,0.1838,0.1708
780,0.12,0.1848,0.1719
