"強度
\
波段",Neutral 8,,
699,0.5682,0.5086,0.5525
700,0.568,0.5089,0.5539
701,0.5678,0.5091,0.5551
702,0.5676,0.5092,0.5563
703,0.5674,0.5094,0.5575
704,0.5672,0.5096,0.5587
705,0.567,0.5097,0.5599
706,0.5668,0.5098,0.5608
707,0.5666,0.5099,0.5617
708,0.5664,0.51,0.5626
709,0.5662,0.5101,0.5636
710,0.566,0.5102,0.5645
711,0.5658,0.5101,0.565
712,0.5656,0.5101,0.5656
713,0.5654,0.51,0.5661
714,0.5652,0.5099,0.5666
715,0.565,0.5098,0.5672
716,0.5648,0.5096,0.5676
717,0.5646,0.5094,0.568
718,0.5644,0.5092,0.5684
719,0.5642,0.509,0.5688
720,0.564,0.5088,0.5692
721,0.5636,0.5088,0.5698
722,0.5632,0.5088,0.5703
723,0.5628,0.5088,0.5709
724,0.5624,0.5088,0.5714
725,0.562,0.5088,0.572
726,0.562,0.5089,0.5726
727,0.562,0.509,0.5731
728,0.562,0.509,0.5737
729,0.562,0.5091,0.5742
730,0.562,0.5092,0.5748
731,0.5616,0.5092,0.5753
732,0.5612,0.5092,0.5758
733,0.5608,0.5092,0.5764
734,0.5604,0.5093,0.5769
735,0.56,0.5093,0.5775
736,0.56,0.5093,0.5781
737,0.56,0.5094,0.5786
738,0.56,0.5095,0.5792
739,0.56,0.5095,0.5798
740,0.56,0.5096,0.5804
741,0.5596,0.5092,0.5804
742,0.5592,0.5089,0.5804
743,0.5588,0.5085,0.5805
744,0.5584,0.5082,0.5805
745,0.558,0.5078,0.5805
746,0.5578,0.5077,0.581
747,0.5576,0.5075,0.5814
748,0.5574,0.5074,0.5819
749,0.5572,0.5073,0.5824
750,0.557,0.5072,0.5828
751,0.5568,0.5073,0.5836
752,0.5566,0.5074,0.5843
753,0.5564,0.5076,0.585
754,0.5562,0.5077,0.5858
755,0.556,0.5078,0.5865
756,0.5558,0.508,0.5874
757,0.5556,0.5082,0.5883
758,0.5554,0.5084,0.5891
759,0.5552,0.5086,0.59
760,0.555,0.5088,0.5909
761,0.5548,0.5085,0.591
762,0.5546,0.5082,0.5911
763,0.5544,0.5079,0.5911
764,0.5542,0.5076,0.5912
765,0.554,0.5073,0.5913
766,0.5538,0.5054,0.5892
767,0.5536,0.5035,0.587
768,0.5534,0.5016,0.5848
769,0.5532,0.4996,0.5827
770,0.553,0.4977,0.5805
771,0.5526,0.4963,0.579
772,0.5522,0.4948,0.5774
773,0.5518,0.4934,0.5759
774,0.5514,0.4919,0.5743
775,0.551,0.4905,0.5727
776,0.5508,0.4896,0.572
777,0.5506,0.4886,0.5712
778,0.5504,0.4877,0.5704
779,0.5502,0.4868,0.5697
780,0.55,0.4858,0.5689
