"強度
\
波段",foliage,,
,,Algorithm,Regression
636,0.0986,0.0663,0.0646
637,0.0982,0.0665,0.0645
638,0.0978,0.0666,0.0645
639,0.0974,0.0668,0.0645
640,0.097,0.0669,0.0645
641,0.0968,0.0671,0.0645
642,0.0966,0.0673,0.0645
643,0.0964,0.0675,0.0645
644,0.0962,0.0677,0.0645
645,0.096,0.0679,0.0645
646,0.0958,0.0681,0.0645
647,0.0956,0.0683,0.0645
648,0.0954,0.0685,0.0646
649,0.0952,0.0687,0.0646
650,0.095,0.0689,0.0646
651,0.095,0.0691,0.0647
652,0.095,0.0693,0.0647
653,0.095,0.0696,0.0647
654,0.095,0.0698,0.0648
655,0.095,0.0701,0.0648
656,0.095,0.0703,0.0649
657,0.095,0.0706,0.065
658,0.095,0.0709,0.065
659,0.095,0.0712,0.0651
660,0.095,0.0714,0.0652
661,0.0954,0.0718,0.0653
662,0.0958,0.0721,0.0654
663,0.0962,0.0725,0.0655
664,0.0966,0.0728,0.0657
665,0.097,0.0732,0.0658
666,0.0978,0.0736,0.066
667,0.0986,0.074,0.0661
668,0.0994,0.0744,0.0663
669,0.1002,0.0748,0.0665
670,0.101,0.0751,0.0667
671,0.1028,0.0757,0.0669
672,0.1046,0.0762,0.0672
673,0.1064,0.0767,0.0675
674,0.1082,0.0773,0.0677
675,0.11,0.0778,0.068
676,0.113,0.0784,0.0684
677,0.116,0.079,0.0687
678,0.119,0.0797,0.0691
679,0.122,0.0803,0.0694
680,0.125,0.0809,0.0698
681,0.1294,0.0817,0.0702
682,0.1338,0.0824,0.0706
683,0.1382,0.0831,0.071
684,0.1426,0.0839,0.0715
685,0.147,0.0846,0.0719
686,0.1524,0.0854,0.0724
687,0.1578,0.0862,0.0728
688,0.1632,0.0869,0.0733
689,0.1686,0.0877,0.0738
690,0.174,0.0885,0.0743
691,0.1812,0.0895,0.0749
692,0.1884,0.0905,0.0755
693,0.1956,0.0915,0.0761
694,0.2028,0.0925,0.0767
695,0.21,0.0935,0.0774
696,0.2174,0.0944,0.078
697,0.2248,0.0954,0.0786
698,0.2322,0.0964,0.0792
699,0.2396,0.0973,0.0798
700,0.247,0.0983,0.0804
701,0.2542,0.0992,0.081
702,0.2614,0.1001,0.0815
703,0.2686,0.101,0.0821
704,0.2758,0.1019,0.0826
705,0.283,0.1028,0.0832
706,0.2886,0.1034,0.0836
707,0.2942,0.1041,0.084
708,0.2998,0.1047,0.0844
709,0.3054,0.1054,0.0847
710,0.311,0.106,0.0851
711,0.3146,0.1065,0.0855
712,0.3182,0.107,0.0858
713,0.3218,0.1075,0.0861
714,0.3254,0.108,0.0864
715,0.329,0.1085,0.0867
716,0.3318,0.1089,0.087
717,0.3346,0.1093,0.0873
718,0.3374,0.1098,0.0876
719,0.3402,0.1102,0.0879
720,0.343,0.1106,0.0882
721,0.345,0.1111,0.0886
722,0.347,0.1115,0.0889
723,0.349,0.112,0.0893
724,0.351,0.1125,0.0896
725,0.353,0.113,0.09
726,0.354,0.1134,0.0903
727,0.355,0.1138,0.0907
728,0.356,0.1142,0.091
729,0.357,0.1146,0.0913
730,0.358,0.115,0.0917
731,0.3588,0.1156,0.0921
732,0.3596,0.1161,0.0926
733,0.3604,0.1166,0.0931
734,0.3612,0.1172,0.0936
735,0.362,0.1177,0.0941
736,0.3624,0.1183,0.0947
737,0.3628,0.1189,0.0952
738,0.3632,0.1195,0.0958
739,0.3636,0.1201,0.0964
740,0.364,0.1206,0.0969
741,0.3632,0.1211,0.0975
742,0.3624,0.1215,0.098
743,0.3616,0.1219,0.0985
744,0.3608,0.1223,0.099
745,0.36,0.1228,0.0995
746,0.3604,0.1234,0.1002
747,0.3608,0.1241,0.1009
748,0.3612,0.1248,0.1016
749,0.3616,0.1254,0.1023
750,0.362,0.1261,0.103
751,0.3624,0.1268,0.1038
752,0.3628,0.1275,0.1046
753,0.3632,0.1282,0.1053
754,0.3636,0.1289,0.1061
755,0.364,0.1296,0.1068
756,0.3648,0.1304,0.1077
757,0.3656,0.1312,0.1085
758,0.3664,0.1319,0.1093
759,0.3672,0.1327,0.1101
760,0.368,0.1335,0.1109
761,0.368,0.1338,0.1113
762,0.368,0.1342,0.1118
763,0.368,0.1345,0.1122
764,0.368,0.1349,0.1127
765,0.368,0.1352,0.1131
766,0.3654,0.1347,0.1129
767,0.3628,0.1343,0.1127
768,0.3602,0.1338,0.1125
769,0.3576,0.1333,0.1123
770,0.355,0.1328,0.1121
771,0.3532,0.1324,0.1119
772,0.3514,0.132,0.1118
773,0.3496,0.1317,0.1116
774,0.3478,0.1313,0.1115
775,0.346,0.1309,0.1114
776,0.345,0.1309,0.1114
777,0.344,0.1308,0.1115
778,0.343,0.1307,0.1115
779,0.342,0.1307,0.1116
780,0.341,0.1306,0.1116
