"強度
\
波段",Neutral 6.5,,
493,0.356,0.2035,0.198
494,0.356,0.2035,0.1982
495,0.356,0.2035,0.1984
496,0.356,0.204,0.1993
497,0.356,0.2045,0.2002
498,0.356,0.205,0.201
499,0.356,0.2055,0.2019
500,0.356,0.206,0.2028
501,0.356,0.2068,0.2041
502,0.356,0.2076,0.2054
503,0.356,0.2084,0.2067
504,0.356,0.2092,0.208
505,0.356,0.2101,0.2093
506,0.356,0.2111,0.2109
507,0.356,0.2122,0.2125
508,0.356,0.2133,0.2141
509,0.356,0.2144,0.2157
510,0.356,0.2155,0.2173
511,0.356,0.2166,0.2189
512,0.356,0.2177,0.2205
513,0.356,0.2188,0.2221
514,0.356,0.2199,0.2237
515,0.356,0.221,0.2253
516,0.3562,0.2217,0.2264
517,0.3564,0.2225,0.2274
518,0.3566,0.2232,0.2285
519,0.3568,0.224,0.2296
520,0.357,0.2247,0.2307
521,0.357,0.2249,0.2309
522,0.357,0.225,0.2312
523,0.357,0.2251,0.2314
524,0.357,0.2253,0.2316
525,0.357,0.2254,0.2319
526,0.357,0.2251,0.2314
527,0.357,0.2247,0.231
528,0.357,0.2244,0.2306
529,0.357,0.224,0.2301
530,0.357,0.2237,0.2297
531,0.3572,0.2231,0.2289
532,0.3574,0.2225,0.2281
533,0.3576,0.2219,0.2272
534,0.3578,0.2213,0.2264
535,0.358,0.2207,0.2256
536,0.358,0.2199,0.2247
537,0.358,0.2191,0.2237
538,0.358,0.2184,0.2227
539,0.358,0.2176,0.2217
540,0.358,0.2169,0.2207
541,0.358,0.2161,0.2197
542,0.358,0.2153,0.2187
543,0.358,0.2145,0.2177
544,0.358,0.2137,0.2167
545,0.358,0.2129,0.2157
546,0.358,0.2118,0.2144
547,0.358,0.2108,0.2132
548,0.358,0.2098,0.212
549,0.358,0.2087,0.2107
550,0.358,0.2077,0.2095
551,0.358,0.2066,0.2081
552,0.358,0.2054,0.2067
553,0.358,0.2043,0.2053
554,0.358,0.2031,0.204
555,0.358,0.202,0.2026
556,0.3582,0.2007,0.201
557,0.3584,0.1994,0.1994
558,0.3586,0.1982,0.1979
559,0.3588,0.1969,0.1963
560,0.359,0.1957,0.1947
561,0.359,0.1945,0.1932
562,0.359,0.1933,0.1917
563,0.359,0.1921,0.1902
564,0.359,0.1909,0.1887
565,0.359,0.1897,0.1872
566,0.3592,0.1888,0.1861
567,0.3594,0.1879,0.185
568,0.3596,0.187,0.1839
569,0.3598,0.1861,0.1827
570,0.36,0.1852,0.1816
571,0.3602,0.1848,0.1811
572,0.3604,0.1843,0.1805
573,0.3606,0.1838,0.18
574,0.3608,0.1833,0.1794
575,0.361,0.1828,0.1788
576,0.361,0.1827,0.1788
577,0.361,0.1825,0.1787
578,0.361,0.1824,0.1786
579,0.361,0.1822,0.1785
580,0.361,0.1821,0.1785
581,0.361,0.1824,0.179
582,0.361,0.1827,0.1795
583,0.361,0.183,0.1801
584,0.361,0.1833,0.1806
585,0.361,0.1836,0.1811
586,0.361,0.1841,0.182
587,0.361,0.1846,0.1828
588,0.361,0.1851,0.1836
589,0.361,0.1856,0.1844
590,0.361,0.1861,0.1852
591,0.361,0.1866,0.1861
592,0.361,0.187,0.1869
593,0.361,0.1875,0.1878
594,0.361,0.188,0.1887
595,0.361,0.1885,0.1895
596,0.3608,0.1892,0.1906
597,0.3606,0.1899,0.1916
598,0.3604,0.1905,0.1927
599,0.3602,0.1912,0.1937
600,0.36,0.1919,0.1947
601,0.36,0.1928,0.196
602,0.36,0.1937,0.1973
603,0.36,0.1946,0.1986
604,0.36,0.1955,0.1998
605,0.36,0.1964,0.2011
606,0.3598,0.1975,0.2025
607,0.3596,0.1986,0.204
608,0.3594,0.1997,0.2054
609,0.3592,0.2007,0.2068
610,0.359,0.2018,0.2082
611,0.3588,0.2029,0.2096
612,0.3586,0.204,0.211
613,0.3584,0.2052,0.2124
614,0.3582,0.2063,0.2137
615,0.358,0.2074,0.2151
616,0.3578,0.2085,0.2164
617,0.3576,0.2095,0.2177
618,0.3574,0.2106,0.2191
619,0.3572,0.2117,0.2204
620,0.357,0.2128,0.2217
621,0.3568,0.2139,0.223
622,0.3566,0.215,0.2243
623,0.3564,0.2161,0.2257
624,0.3562,0.2172,0.227
625,0.356,0.2183,0.2283
626,0.3558,0.2192,0.2295
627,0.3556,0.2202,0.2307
628,0.3554,0.2212,0.2318
629,0.3552,0.2221,0.233
630,0.355,0.2231,0.2341
631,0.3548,0.2238,0.2351
632,0.3546,0.2246,0.236
633,0.3544,0.2253,0.2369
634,0.3542,0.2261,0.2378
635,0.354,0.2268,0.2388
636,0.3538,0.2276,0.2397
637,0.3536,0.2283,0.2407
638,0.3534,0.2291,0.2416
639,0.3532,0.2299,0.2426
640,0.353,0.2306,0.2435
641,0.3528,0.2315,0.2446
642,0.3526,0.2323,0.2457
643,0.3524,0.2332,0.2468
644,0.3522,0.2341,0.2479
645,0.352,0.2349,0.249
646,0.3518,0.2358,0.2501
647,0.3516,0.2367,0.2512
648,0.3514,0.2375,0.2523
649,0.3512,0.2384,0.2535
650,0.351,0.2393,0.2546
651,0.3508,0.2402,0.2557
652,0.3506,0.2411,0.2569
653,0.3504,0.242,0.2581
654,0.3502,0.2429,0.2592
655,0.35,0.2438,0.2604
656,0.3498,0.2446,0.2616
657,0.3496,0.2455,0.2627
658,0.3494,0.2464,0.2639
659,0.3492,0.2472,0.265
660,0.349,0.2481,0.2662
661,0.3488,0.2491,0.2674
662,0.3486,0.25,0.2687
663,0.3484,0.251,0.2699
664,0.3482,0.2519,0.2712
665,0.348,0.2528,0.2724
666,0.3476,0.2538,0.2736
667,0.3472,0.2547,0.2748
668,0.3468,0.2556,0.276
669,0.3464,0.2565,0.2772
670,0.346,0.2574,0.2784
671,0.346,0.2585,0.2797
672,0.346,0.2595,0.2811
673,0.346,0.2605,0.2824
674,0.346,0.2616,0.2837
675,0.346,0.2626,0.2851
676,0.3458,0.2637,0.2865
677,0.3456,0.2648,0.2879
678,0.3454,0.266,0.2893
679,0.3452,0.2671,0.2907
680,0.345,0.2682,0.2922
681,0.3448,0.2693,0.2936
682,0.3446,0.2704,0.295
683,0.3444,0.2716,0.2964
684,0.3442,0.2727,0.2978
685,0.344,0.2738,0.2993
686,0.3438,0.2749,0.3006
687,0.3436,0.276,0.302
688,0.3434,0.2772,0.3034
689,0.3432,0.2783,0.3048
690,0.343,0.2794,0.3062
691,0.3428,0.2807,0.3078
692,0.3426,0.282,0.3095
693,0.3424,0.2834,0.3111
694,0.3422,0.2847,0.3127
695,0.342,0.286,0.3144
696,0.3418,0.2873,0.3159
697,0.3416,0.2885,0.3175
698,0.3414,0.2898,0.319
699,0.3412,0.291,0.3205
700,0.341,0.2923,0.3221
701,0.3408,0.2934,0.3235
702,0.3406,0.2946,0.3249
703,0.3404,0.2957,0.3263
704,0.3402,0.2968,0.3277
705,0.34,0.298,0.3291
706,0.3398,0.2988,0.3301
707,0.3396,0.2997,0.3312
708,0.3394,0.3005,0.3323
709,0.3392,0.3014,0.3333
710,0.339,0.3022,0.3344
711,0.3388,0.3029,0.3351
712,0.3386,0.3035,0.3359
713,0.3384,0.3042,0.3366
714,0.3382,0.3048,0.3373
715,0.338,0.3054,0.3381
716,0.3378,0.306,0.3387
717,0.3376,0.3066,0.3393
718,0.3374,0.3071,0.34
719,0.3372,0.3077,0.3406
720,0.337,0.3082,0.3412
721,0.3368,0.309,0.342
722,0.3366,0.3097,0.3427
723,0.3364,0.3105,0.3435
724,0.3362,0.3112,0.3443
725,0.336,0.3119,0.345
726,0.3358,0.3126,0.3457
727,0.3356,0.3133,0.3464
728,0.3354,0.314,0.3471
729,0.3352,0.3147,0.3478
730,0.335,0.3153,0.3485
731,0.3348,0.3162,0.3492
732,0.3346,0.317,0.35
733,0.3344,0.3179,0.3508
734,0.3342,0.3187,0.3515
735,0.334,0.3196,0.3523
736,0.3338,0.3205,0.3531
737,0.3336,0.3215,0.354
738,0.3334,0.3224,0.3548
739,0.3332,0.3233,0.3556
740,0.333,0.3243,0.3564
741,0.3328,0.3249,0.3568
742,0.3326,0.3256,0.3571
743,0.3324,0.3262,0.3575
744,0.3322,0.3268,0.3579
745,0.332,0.3275,0.3582
746,0.3318,0.3285,0.3591
747,0.3316,0.3296,0.3599
748,0.3314,0.3307,0.3607
749,0.3312,0.3317,0.3616
750,0.331,0.3328,0.3624
751,0.3308,0.3341,0.3634
752,0.3306,0.3354,0.3644
753,0.3304,0.3367,0.3655
754,0.3302,0.338,0.3665
755,0.33,0.3393,0.3675
756,0.3298,0.3407,0.3687
757,0.3296,0.3422,0.3698
758,0.3294,0.3436,0.371
759,0.3292,0.345,0.3722
760,0.329,0.3465,0.3733
761,0.3288,0.3471,0.3737
762,0.3286,0.3477,0.3741
763,0.3284,0.3484,0.3745
764,0.3282,0.349,0.3748
765,0.328,0.3496,0.3752
766,0.3278,0.3484,0.3737
767,0.3276,0.3472,0.3721
768,0.3274,0.346,0.3705
769,0.3272,0.3449,0.3689
770,0.327,0.3437,0.3673
771,0.3268,0.3429,0.3662
772,0.3266,0.3421,0.3651
773,0.3264,0.3413,0.3639
774,0.3262,0.3405,0.3628
775,0.326,0.3397,0.3616
776,0.3258,0.3395,0.3612
777,0.3256,0.3393,0.3608
778,0.3254,0.3391,0.3604
779,0.3252,0.3389,0.3599
780,0.325,0.3387,0.3595
