"強度
\
波段",dark skin,,
,,Algorithm,Regression
641,0.1744,0.1342,0.1212
642,0.1758,0.1347,0.1214
643,0.1772,0.1352,0.1216
644,0.1786,0.1357,0.1218
645,0.18,0.1362,0.1221
646,0.1816,0.1367,0.1222
647,0.1832,0.1371,0.1224
648,0.1848,0.1375,0.1225
649,0.1864,0.138,0.1227
650,0.188,0.1384,0.1229
651,0.1896,0.1387,0.1229
652,0.1912,0.1391,0.1229
653,0.1928,0.1394,0.123
654,0.1944,0.1397,0.123
655,0.196,0.14,0.1231
656,0.1976,0.1403,0.1231
657,0.1992,0.1406,0.1231
658,0.2008,0.1409,0.1231
659,0.2024,0.1412,0.1231
660,0.204,0.1415,0.1231
661,0.2058,0.1418,0.123
662,0.2076,0.1421,0.123
663,0.2094,0.1424,0.123
664,0.2112,0.1427,0.123
665,0.213,0.143,0.123
666,0.2148,0.1434,0.123
667,0.2166,0.1437,0.1231
668,0.2184,0.1441,0.1231
669,0.2202,0.1444,0.1231
670,0.222,0.1448,0.1232
671,0.2238,0.1453,0.1233
672,0.2256,0.1458,0.1234
673,0.2274,0.1463,0.1235
674,0.2292,0.1468,0.1237
675,0.231,0.1473,0.1238
676,0.2332,0.1479,0.124
677,0.2354,0.1485,0.1242
678,0.2376,0.1492,0.1244
679,0.2398,0.1498,0.1246
680,0.242,0.1504,0.1248
681,0.2438,0.1511,0.125
682,0.2456,0.1518,0.1252
683,0.2474,0.1525,0.1254
684,0.2492,0.1531,0.1256
685,0.251,0.1538,0.1258
686,0.253,0.1546,0.1261
687,0.255,0.1553,0.1263
688,0.257,0.1561,0.1266
689,0.259,0.1568,0.1268
690,0.261,0.1576,0.1271
691,0.263,0.1585,0.1273
692,0.265,0.1594,0.1276
693,0.267,0.1603,0.1279
694,0.269,0.1613,0.1282
695,0.271,0.1622,0.1285
696,0.2732,0.1631,0.1288
697,0.2754,0.164,0.1291
698,0.2776,0.1649,0.1294
699,0.2798,0.1658,0.1297
700,0.282,0.1667,0.13
701,0.2844,0.1675,0.1302
702,0.2868,0.1684,0.1305
703,0.2892,0.1692,0.1307
704,0.2916,0.17,0.131
705,0.294,0.1709,0.1312
706,0.2962,0.1715,0.1314
707,0.2984,0.1722,0.1316
708,0.3006,0.1728,0.1318
709,0.3028,0.1735,0.1319
710,0.305,0.1741,0.1321
711,0.3076,0.1746,0.1323
712,0.3102,0.175,0.1324
713,0.3128,0.1755,0.1326
714,0.3154,0.1759,0.1327
715,0.318,0.1764,0.1328
716,0.3212,0.1768,0.133
717,0.3244,0.1772,0.1331
718,0.3276,0.1776,0.1332
719,0.3308,0.178,0.1334
720,0.334,0.1784,0.1335
721,0.338,0.179,0.1338
722,0.342,0.1795,0.134
723,0.346,0.18,0.1343
724,0.35,0.1805,0.1346
725,0.354,0.181,0.1349
726,0.3576,0.1814,0.1351
727,0.3612,0.1819,0.1353
728,0.3648,0.1823,0.1355
729,0.3684,0.1827,0.1357
730,0.372,0.1831,0.1359
731,0.376,0.1836,0.1362
732,0.38,0.184,0.1365
733,0.384,0.1845,0.1368
734,0.388,0.185,0.1371
735,0.392,0.1854,0.1374
736,0.3954,0.1859,0.1377
737,0.3988,0.1863,0.138
738,0.4022,0.1867,0.1383
739,0.4056,0.1872,0.1386
740,0.409,0.1876,0.1389
741,0.4112,0.1878,0.1391
742,0.4134,0.188,0.1393
743,0.4156,0.1882,0.1395
744,0.4178,0.1884,0.1397
745,0.42,0.1886,0.1399
746,0.4232,0.1891,0.1403
747,0.4264,0.1895,0.1407
748,0.4296,0.19,0.1411
749,0.4328,0.1905,0.1414
750,0.436,0.191,0.1418
751,0.4388,0.1916,0.1424
752,0.4416,0.1922,0.1429
753,0.4444,0.1929,0.1435
754,0.4472,0.1935,0.144
