"強度
\
波段",Yellow,,
,,Algorithm,Regression
677,0.7832,0.6162,0.6195
678,0.7838,0.6174,0.6208
679,0.7844,0.6187,0.6221
680,0.785,0.6199,0.6234
681,0.785,0.6211,0.6244
682,0.785,0.6222,0.6255
683,0.785,0.6233,0.6265
684,0.785,0.6244,0.6276
685,0.785,0.6255,0.6286
686,0.7854,0.6267,0.6296
687,0.7858,0.6278,0.6305
688,0.7862,0.629,0.6315
689,0.7866,0.6301,0.6324
690,0.787,0.6312,0.6334
691,0.7874,0.6326,0.6344
692,0.7878,0.6339,0.6355
693,0.7882,0.6353,0.6366
694,0.7886,0.6367,0.6377
695,0.789,0.638,0.6388
696,0.7896,0.6393,0.6399
697,0.7902,0.6406,0.6409
698,0.7908,0.6419,0.6419
699,0.7914,0.6432,0.6429
700,0.792,0.6445,0.6439
701,0.792,0.6454,0.6446
702,0.792,0.6463,0.6452
703,0.792,0.6472,0.6459
704,0.792,0.6481,0.6465
705,0.792,0.6491,0.6472
706,0.7922,0.6497,0.6476
707,0.7924,0.6504,0.6481
708,0.7926,0.651,0.6486
709,0.7928,0.6517,0.6491
710,0.793,0.6524,0.6496
711,0.7928,0.6526,0.6496
712,0.7926,0.6528,0.6497
713,0.7924,0.653,0.6497
714,0.7922,0.6532,0.6497
715,0.792,0.6534,0.6498
716,0.7916,0.6535,0.6497
717,0.7912,0.6536,0.6497
718,0.7908,0.6537,0.6497
719,0.7904,0.6538,0.6497
720,0.79,0.6539,0.6497
721,0.7904,0.6546,0.6501
722,0.7908,0.6552,0.6506
723,0.7912,0.6559,0.6511
724,0.7916,0.6565,0.6516
725,0.792,0.6571,0.652
726,0.792,0.6576,0.6524
727,0.792,0.658,0.6527
728,0.792,0.6585,0.6531
729,0.792,0.6589,0.6535
730,0.792,0.6593,0.6538
731,0.7916,0.6598,0.6541
732,0.7912,0.6603,0.6544
733,0.7908,0.6608,0.6547
734,0.7904,0.6612,0.655
735,0.79,0.6617,0.6553
736,0.7894,0.6621,0.6554
737,0.7888,0.6624,0.6555
738,0.7882,0.6627,0.6557
739,0.7876,0.663,0.6558
740,0.787,0.6634,0.656
741,0.786,0.6629,0.6552
742,0.785,0.6624,0.6545
743,0.784,0.6619,0.6538
744,0.783,0.6614,0.653
745,0.782,0.6609,0.6523
746,0.7812,0.6612,0.6523
747,0.7804,0.6614,0.6523
748,0.7796,0.6616,0.6523
749,0.7788,0.6619,0.6522
750,0.778,0.6621,0.6522
751,0.7784,0.6628,0.6526
752,0.7788,0.6635,0.6529
