"強度
\
波段",light skin,,
,,Algorithm,Regression
750,0.789,0.4854,0.5077
751,0.79,0.4862,0.5084
752,0.791,0.487,0.5091
753,0.792,0.4878,0.5098
754,0.793,0.4886,0.5105
755,0.794,0.4894,0.5112
756,0.7954,0.4904,0.5121
757,0.7968,0.4914,0.513
758,0.7982,0.4924,0.5139
759,0.7996,0.4933,0.5148
760,0.801,0.4943,0.5157
761,0.8006,0.4944,0.5157
762,0.8002,0.4945,0.5157
763,0.7998,0.4946,0.5157
764,0.7994,0.4948,0.5157
765,0.799,0.4949,0.5157
766,0.7934,0.492,0.5125
767,0.7878,0.4891,0.5093
768,0.7822,0.4862,0.5061
769,0.7766,0.4833,0.5029
770,0.771,0.4804,0.4998
771,0.7662,0.4782,0.4973
772,0.7614,0.4759,0.4948
773,0.7566,0.4737,0.4923
774,0.7518,0.4714,0.4897
775,0.747,0.4691,0.4872
776,0.7444,0.4678,0.4857
777,0.7418,0.4664,0.4842
778,0.7392,0.465,0.4827
779,0.7366,0.4637,0.4813
780,0.734,0.4623,0.4798
