"強度
\
波段",Green,,
,,Algorithm,Regression
667,0.075,0.0423,0.0523
668,0.075,0.0428,0.053
669,0.075,0.0434,0.0536
670,0.075,0.0439,0.0542
671,0.0754,0.0447,0.0551
672,0.0758,0.0454,0.0559
673,0.0762,0.0462,0.0567
674,0.0766,0.0469,0.0576
675,0.077,0.0477,0.0584
676,0.0772,0.0486,0.0594
677,0.0774,0.0495,0.0604
678,0.0776,0.0504,0.0614
679,0.0778,0.0513,0.0624
680,0.078,0.0521,0.0634
681,0.0784,0.0532,0.0646
682,0.0788,0.0543,0.0658
683,0.0792,0.0554,0.0671
684,0.0796,0.0565,0.0683
685,0.08,0.0576,0.0695
686,0.0804,0.0587,0.0708
687,0.0808,0.0599,0.0721
688,0.0812,0.061,0.0734
689,0.0816,0.0622,0.0747
690,0.082,0.0633,0.076
691,0.0826,0.0648,0.0777
692,0.0832,0.0662,0.0794
693,0.0838,0.0677,0.081
694,0.0844,0.0692,0.0827
695,0.085,0.0707,0.0844
696,0.0856,0.0721,0.0861
697,0.0862,0.0735,0.0877
698,0.0868,0.0749,0.0894
699,0.0874,0.0763,0.091
700,0.088,0.0777,0.0927
701,0.0882,0.079,0.0942
702,0.0884,0.0803,0.0957
703,0.0886,0.0816,0.0973
704,0.0888,0.0829,0.0988
705,0.089,0.0842,0.1003
706,0.089,0.0851,0.1014
707,0.089,0.086,0.1026
708,0.089,0.0869,0.1037
709,0.089,0.0879,0.1048
710,0.089,0.0888,0.1059
711,0.0892,0.0894,0.1067
712,0.0894,0.0901,0.1076
713,0.0896,0.0908,0.1084
714,0.0898,0.0914,0.1092
715,0.09,0.0921,0.11
716,0.09,0.0926,0.1108
717,0.09,0.0932,0.1115
718,0.09,0.0938,0.1122
719,0.09,0.0943,0.113
720,0.09,0.0949,0.1137
721,0.09,0.0954,0.1144
722,0.09,0.096,0.1151
723,0.09,0.0965,0.1158
724,0.09,0.0971,0.1165
725,0.09,0.0976,0.1172
726,0.0898,0.0981,0.1178
727,0.0896,0.0986,0.1185
728,0.0894,0.0991,0.1191
729,0.0892,0.0996,0.1198
730,0.089,0.1002,0.1204
731,0.0896,0.1009,0.1213
732,0.0902,0.1016,0.1221
733,0.0908,0.1024,0.123
734,0.0914,0.1031,0.1239
735,0.092,0.1038,0.1247
736,0.0924,0.1047,0.1257
737,0.0928,0.1056,0.1267
738,0.0932,0.1064,0.1277
739,0.0936,0.1073,0.1287
740,0.094,0.1082,0.1297
741,0.0946,0.1088,0.1305
742,0.0952,0.1095,0.1313
743,0.0958,0.1102,0.132
744,0.0964,0.1109,0.1328
745,0.097,0.1116,0.1336
746,0.098,0.1126,0.1347
747,0.099,0.1136,0.1359
748,0.1,0.1145,0.137
749,0.101,0.1155,0.1381
750,0.102,0.1165,0.1392
751,0.1028,0.1174,0.1403
752,0.1036,0.1183,0.1413
753,0.1044,0.1192,0.1424
754,0.1052,0.12,0.1434
755,0.106,0.1209,0.1444
756,0.1068,0.1219,0.1456
757,0.1076,0.1228,0.1467
758,0.1084,0.1238,0.1478
759,0.1092,0.1247,0.149
760,0.11,0.1257,0.1501
761,0.1102,0.1261,0.1507
762,0.1104,0.1266,0.1512
763,0.1106,0.1271,0.1518
764,0.1108,0.1275,0.1524
765,0.111,0.128,0.153
766,0.1112,0.1277,0.1528
767,0.1114,0.1275,0.1526
768,0.1116,0.1272,0.1524
769,0.1118,0.1269,0.1521
770,0.112,0.1267,0.1519
771,0.112,0.1265,0.1518
772,0.112,0.1262,0.1516
773,0.112,0.126,0.1515
774,0.112,0.1258,0.1513
775,0.112,0.1255,0.1511
776,0.112,0.1256,0.1514
777,0.112,0.1257,0.1516
778,0.112,0.1258,0.1519
779,0.112,0.1259,0.1521
780,0.112,0.126,0.1524
