"強度
\
波段",Cyan,,
,,Algorithm,Regression
671,0.0768,-0.0439,-0.0355
672,0.0766,-0.0437,-0.0351
673,0.0764,-0.0434,-0.0346
674,0.0762,-0.0432,-0.0342
675,0.076,-0.0429,-0.0338
676,0.0758,-0.0428,-0.0335
677,0.0756,-0.0427,-0.0332
678,0.0754,-0.0426,-0.0329
679,0.0752,-0.0425,-0.0325
680,0.075,-0.0423,-0.0322
681,0.0748,-0.0422,-0.0318
682,0.0746,-0.042,-0.0314
683,0.0744,-0.0418,-0.031
684,0.0742,-0.0416,-0.0306
685,0.074,-0.0415,-0.0302
686,0.074,-0.0413,-0.0299
687,0.074,-0.0411,-0.0295
688,0.074,-0.041,-0.0291
689,0.074,-0.0408,-0.0287
690,0.074,-0.0407,-0.0284
691,0.0738,-0.0405,-0.0279
692,0.0736,-0.0403,-0.0274
693,0.0734,-0.04,-0.0269
694,0.0732,-0.0398,-0.0264
695,0.073,-0.0396,-0.0259
696,0.0728,-0.0394,-0.0254
697,0.0726,-0.0391,-0.025
698,0.0724,-0.0389,-0.0245
699,0.0722,-0.0386,-0.024
700,0.072,-0.0384,-0.0235
701,0.072,-0.0381,-0.023
702,0.072,-0.0377,-0.0224
703,0.072,-0.0374,-0.0219
704,0.072,-0.0371,-0.0214
705,0.072,-0.0368,-0.0208
706,0.0718,-0.0366,-0.0205
707,0.0716,-0.0364,-0.0201
708,0.0714,-0.0362,-0.0198
709,0.0712,-0.036,-0.0194
710,0.071,-0.0358,-0.0191
711,0.0714,-0.0354,-0.0186
712,0.0718,-0.035,-0.0181
713,0.0722,-0.0345,-0.0176
714,0.0726,-0.0341,-0.0171
715,0.073,-0.0337,-0.0166
716,0.0734,-0.0332,-0.0161
717,0.0738,-0.0326,-0.0155
718,0.0742,-0.0321,-0.015
719,0.0746,-0.0316,-0.0144
720,0.075,-0.0311,-0.0139
721,0.0756,-0.0305,-0.0133
722,0.0762,-0.0299,-0.0127
723,0.0768,-0.0293,-0.0121
724,0.0774,-0.0286,-0.0115
725,0.078,-0.028,-0.0109
726,0.0788,-0.0273,-0.0102
727,0.0796,-0.0265,-0.0095
728,0.0804,-0.0258,-0.0088
729,0.0812,-0.0251,-0.0081
730,0.082,-0.0243,-0.0074
731,0.0836,-0.0231,-0.0062
732,0.0852,-0.0219,-0.0051
733,0.0868,-0.0207,-0.004
734,0.0884,-0.0195,-0.0028
735,0.09,-0.0183,-0.0017
736,0.092,-0.0167,-0.0002
737,0.094,-0.0151,0.0012
738,0.096,-0.0135,0.0027
739,0.098,-0.0119,0.0041
740,0.1,-0.0104,0.0056
741,0.1032,-0.0084,0.0074
742,0.1064,-0.0064,0.0091
743,0.1096,-0.0045,0.0109
744,0.1128,-0.0025,0.0126
745,0.116,-0.0005,0.0144
746,0.1194,0.0016,0.0163
747,0.1228,0.0038,0.0182
748,0.1262,0.0059,0.0202
749,0.1296,0.0081,0.0221
750,0.133,0.0102,0.0241
751,0.1372,0.0125,0.0261
752,0.1414,0.0148,0.0281
753,0.1456,0.0171,0.0301
754,0.1498,0.0193,0.0322
755,0.154,0.0216,0.0342
756,0.1584,0.024,0.0363
757,0.1628,0.0264,0.0384
758,0.1672,0.0288,0.0405
759,0.1716,0.0311,0.0426
760,0.176,0.0335,0.0447
761,0.179,0.0353,0.0463
762,0.182,0.0371,0.0479
763,0.185,0.0389,0.0494
764,0.188,0.0407,0.051
765,0.191,0.0425,0.0526
766,0.1928,0.0445,0.0543
767,0.1946,0.0465,0.0559
768,0.1964,0.0485,0.0576
769,0.1982,0.0505,0.0593
770,0.2,0.0525,0.061
771,0.2016,0.0546,0.0628
772,0.2032,0.0566,0.0646
773,0.2048,0.0587,0.0663
774,0.2064,0.0608,0.0681
775,0.208,0.0629,0.0699
776,0.2092,0.065,0.0717
777,0.2104,0.0671,0.0735
778,0.2116,0.0691,0.0754
779,0.2128,0.0712,0.0772
780,0.214,0.0733,0.079
