"強度
\
波段",Neutral 5,,
,,Algorithm,Regression
708,0.1914,0.1627,0.138
709,0.1912,0.1634,0.1384
710,0.191,0.1641,0.1388
711,0.191,0.1647,0.1392
712,0.191,0.1652,0.1396
713,0.191,0.1658,0.14
714,0.191,0.1664,0.1404
715,0.191,0.1669,0.1408
716,0.1908,0.1675,0.1412
717,0.1906,0.168,0.1415
718,0.1904,0.1685,0.1419
719,0.1902,0.169,0.1423
720,0.19,0.1696,0.1426
721,0.1898,0.1702,0.1431
722,0.1896,0.1708,0.1436
723,0.1894,0.1715,0.1441
724,0.1892,0.1721,0.1446
725,0.189,0.1727,0.1451
726,0.189,0.1733,0.1456
727,0.189,0.1739,0.146
728,0.189,0.1745,0.1465
729,0.189,0.175,0.147
730,0.189,0.1756,0.1474
731,0.1888,0.1764,0.1481
732,0.1886,0.1771,0.1487
733,0.1884,0.1778,0.1493
734,0.1882,0.1786,0.15
735,0.188,0.1793,0.1506
736,0.188,0.1801,0.1513
737,0.188,0.181,0.1521
738,0.188,0.1818,0.1528
739,0.188,0.1826,0.1535
740,0.188,0.1834,0.1542
741,0.1878,0.1841,0.1549
742,0.1876,0.1848,0.1556
743,0.1874,0.1854,0.1562
744,0.1872,0.1861,0.1569
745,0.187,0.1867,0.1576
746,0.187,0.1877,0.1585
747,0.187,0.1887,0.1594
748,0.187,0.1897,0.1603
749,0.187,0.1907,0.1612
750,0.187,0.1916,0.1621
751,0.1868,0.1928,0.1632
752,0.1866,0.1939,0.1642
753,0.1864,0.195,0.1653
754,0.1862,0.1961,0.1663
755,0.186,0.1973,0.1674
756,0.1858,0.1985,0.1686
757,0.1856,0.1997,0.1697
758,0.1854,0.2009,0.1708
759,0.1852,0.2022,0.172
760,0.185,0.2034,0.1731
761,0.185,0.204,0.1738
762,0.185,0.2047,0.1744
763,0.185,0.2053,0.175
764,0.185,0.206,0.1757
765,0.185,0.2066,0.1763
766,0.1848,0.206,0.176
767,0.1846,0.2055,0.1757
768,0.1844,0.205,0.1754
769,0.1842,0.2044,0.1751
770,0.184,0.2039,0.1748
771,0.184,0.2035,0.1747
772,0.184,0.2032,0.1746
773,0.184,0.2029,0.1745
774,0.184,0.2026,0.1744
775,0.184,0.2023,0.1743
776,0.1838,0.2024,0.1745
777,0.1836,0.2025,0.1746
778,0.1834,0.2026,0.1748
779,0.1832,0.2027,0.175
780,0.183,0.2028,0.1751
