"強度
\
波段",Neutral 3.5,,
,,Algorithm,Regression
650,0.089,0.0646,0.0475
651,0.089,0.0649,0.0476
652,0.089,0.0652,0.0476
653,0.089,0.0656,0.0477
654,0.089,0.0659,0.0477
655,0.089,0.0662,0.0478
656,0.089,0.0665,0.0478
657,0.089,0.0668,0.0478
658,0.089,0.067,0.0478
659,0.089,0.0673,0.0479
660,0.089,0.0676,0.0479
661,0.0888,0.068,0.0479
662,0.0886,0.0683,0.048
663,0.0884,0.0686,0.048
664,0.0882,0.0689,0.048
665,0.088,0.0693,0.048
666,0.088,0.0696,0.0481
667,0.088,0.0699,0.0481
668,0.088,0.0702,0.0482
669,0.088,0.0706,0.0482
670,0.088,0.0709,0.0482
671,0.088,0.0713,0.0483
672,0.088,0.0717,0.0483
673,0.088,0.0721,0.0484
674,0.088,0.0724,0.0484
675,0.088,0.0728,0.0485
676,0.0878,0.0733,0.0485
677,0.0876,0.0737,0.0486
678,0.0874,0.0741,0.0486
679,0.0872,0.0746,0.0487
680,0.087,0.075,0.0487
681,0.087,0.0755,0.0488
682,0.087,0.076,0.0488
683,0.087,0.0765,0.0489
684,0.087,0.077,0.0489
685,0.087,0.0775,0.049
686,0.087,0.078,0.049
687,0.087,0.0785,0.0491
688,0.087,0.0791,0.0492
689,0.087,0.0796,0.0492
690,0.087,0.0801,0.0493
691,0.087,0.0808,0.0494
692,0.087,0.0814,0.0494
693,0.087,0.0821,0.0495
694,0.087,0.0827,0.0496
695,0.087,0.0834,0.0496
696,0.0868,0.084,0.0497
697,0.0866,0.0847,0.0498
698,0.0864,0.0853,0.0499
699,0.0862,0.086,0.0499
700,0.086,0.0866,0.05
701,0.086,0.0872,0.0501
702,0.086,0.0878,0.0501
703,0.086,0.0885,0.0502
704,0.086,0.0891,0.0503
705,0.086,0.0897,0.0503
706,0.086,0.0902,0.0504
707,0.086,0.0906,0.0504
708,0.086,0.0911,0.0504
709,0.086,0.0916,0.0504
710,0.086,0.092,0.0505
711,0.086,0.0924,0.0505
712,0.086,0.0928,0.0506
713,0.086,0.0932,0.0507
714,0.086,0.0935,0.0508
715,0.086,0.0939,0.0509
716,0.0858,0.0943,0.051
717,0.0856,0.0947,0.0511
718,0.0854,0.095,0.0512
719,0.0852,0.0954,0.0513
720,0.085,0.0957,0.0513
721,0.085,0.0962,0.0516
722,0.085,0.0966,0.0518
723,0.085,0.097,0.052
724,0.085,0.0974,0.0522
725,0.085,0.0979,0.0524
726,0.085,0.0983,0.0526
727,0.085,0.0986,0.0528
728,0.085,0.099,0.053
729,0.085,0.0994,0.0532
730,0.085,0.0998,0.0534
731,0.085,0.1003,0.0537
732,0.085,0.1008,0.0541
733,0.085,0.1013,0.0545
734,0.085,0.1018,0.0548
735,0.085,0.1023,0.0552
736,0.085,0.1029,0.0556
737,0.085,0.1035,0.0561
738,0.085,0.104,0.0565
739,0.085,0.1046,0.0569
740,0.085,0.1051,0.0574
741,0.0848,0.1056,0.0579
742,0.0846,0.1061,0.0584
743,0.0844,0.1065,0.0589
744,0.0842,0.107,0.0594
745,0.084,0.1075,0.0599
746,0.084,0.1082,0.0605
747,0.084,0.1089,0.0611
748,0.084,0.1095,0.0617
749,0.084,0.1102,0.0623
750,0.084,0.1109,0.0629
751,0.084,0.1116,0.0636
752,0.084,0.1124,0.0643
753,0.084,0.1132,0.065
754,0.084,0.1139,0.0657
755,0.084,0.1147,0.0665
756,0.084,0.1155,0.0672
757,0.084,0.1164,0.068
758,0.084,0.1172,0.0687
759,0.084,0.118,0.0694
760,0.084,0.1189,0.0702
761,0.084,0.1193,0.0707
762,0.084,0.1198,0.0711
763,0.084,0.1203,0.0716
764,0.084,0.1207,0.0721
765,0.084,0.1212,0.0726
766,0.0838,0.1209,0.0726
767,0.0836,0.1206,0.0727
768,0.0834,0.1204,0.0728
769,0.0832,0.1201,0.0729
770,0.083,0.1199,0.0729
771,0.083,0.1198,0.0731
772,0.083,0.1196,0.0732
773,0.083,0.1195,0.0734
774,0.083,0.1194,0.0735
775,0.083,0.1193,0.0737
776,0.083,0.1194,0.0739
777,0.083,0.1196,0.0741
778,0.083,0.1197,0.0743
779,0.083,0.1198,0.0745
780,0.083,0.12,0.0747
