"強度
\
波段",Purplish blue,,
,,Algorithm,Regression
670,0.126,0.0906,0.0989
671,0.1256,0.0911,0.0992
672,0.1252,0.0915,0.0995
673,0.1248,0.092,0.0999
674,0.1244,0.0924,0.1002
675,0.124,0.0929,0.1005
676,0.1232,0.0933,0.1008
677,0.1224,0.0936,0.101
678,0.1216,0.0939,0.1012
679,0.1208,0.0943,0.1014
680,0.12,0.0946,0.1016
681,0.1194,0.095,0.1018
682,0.1188,0.0953,0.1019
683,0.1182,0.0956,0.1021
684,0.1176,0.0959,0.1023
685,0.117,0.0962,0.1024
686,0.1166,0.0965,0.1026
687,0.1162,0.0968,0.1027
688,0.1158,0.097,0.1028
689,0.1154,0.0973,0.1029
690,0.115,0.0976,0.1031
691,0.115,0.0979,0.1032
692,0.115,0.0982,0.1033
693,0.115,0.0985,0.1034
694,0.115,0.0989,0.1036
695,0.115,0.0992,0.1037
696,0.1152,0.0995,0.1038
697,0.1154,0.0999,0.104
698,0.1156,0.1002,0.1041
699,0.1158,0.1006,0.1042
700,0.116,0.1009,0.1044
701,0.1164,0.1013,0.1046
702,0.1168,0.1018,0.1048
703,0.1172,0.1022,0.105
704,0.1176,0.1026,0.1053
705,0.118,0.1031,0.1055
706,0.1184,0.1034,0.1057
707,0.1188,0.1037,0.1058
708,0.1192,0.1041,0.106
709,0.1196,0.1044,0.1062
710,0.12,0.1048,0.1063
711,0.1208,0.1053,0.1067
712,0.1216,0.1058,0.107
713,0.1224,0.1062,0.1074
714,0.1232,0.1067,0.1077
715,0.124,0.1072,0.1081
716,0.1248,0.1078,0.1085
717,0.1256,0.1084,0.109
718,0.1264,0.109,0.1094
719,0.1272,0.1096,0.1098
720,0.128,0.1102,0.1103
721,0.129,0.1109,0.1108
722,0.13,0.1117,0.1114
723,0.131,0.1124,0.112
724,0.132,0.1131,0.1126
725,0.133,0.1139,0.1132
726,0.1342,0.1147,0.1138
727,0.1354,0.1155,0.1145
728,0.1366,0.1163,0.1151
729,0.1378,0.1171,0.1158
730,0.139,0.1179,0.1165
731,0.141,0.119,0.1174
732,0.143,0.1201,0.1183
733,0.145,0.1212,0.1192
734,0.147,0.1223,0.1201
735,0.149,0.1234,0.1211
736,0.1516,0.1247,0.1222
737,0.1542,0.126,0.1233
738,0.1568,0.1274,0.1245
739,0.1594,0.1287,0.1256
740,0.162,0.13,0.1268
741,0.1652,0.1315,0.1281
742,0.1684,0.133,0.1294
743,0.1716,0.1345,0.1307
744,0.1748,0.136,0.132
745,0.178,0.1375,0.1334
746,0.1818,0.1393,0.1349
747,0.1856,0.141,0.1365
748,0.1894,0.1428,0.138
749,0.1932,0.1446,0.1395
750,0.197,0.1464,0.1411
751,0.2014,0.1484,0.1429
752,0.2058,0.1505,0.1447
753,0.2102,0.1525,0.1465
754,0.2146,0.1546,0.1483
755,0.219,0.1566,0.1501
756,0.2236,0.1589,0.1521
757,0.2282,0.1611,0.154
758,0.2328,0.1633,0.156
759,0.2374,0.1655,0.1579
760,0.242,0.1677,0.1599
761,0.2454,0.1693,0.1612
762,0.2488,0.1708,0.1626
763,0.2522,0.1724,0.164
764,0.2556,0.1739,0.1654
765,0.259,0.1755,0.1667
766,0.2622,0.1764,0.1676
767,0.2654,0.1773,0.1684
768,0.2686,0.1782,0.1693
769,0.2718,0.1791,0.1701
770,0.275,0.18,0.171
771,0.2788,0.1812,0.1722
772,0.2826,0.1825,0.1733
773,0.2864,0.1837,0.1745
774,0.2902,0.185,0.1757
775,0.294,0.1862,0.1768
776,0.2984,0.1877,0.1781
777,0.3028,0.1892,0.1795
778,0.3072,0.1907,0.1808
779,0.3116,0.1921,0.1821
780,0.316,0.1936,0.1834
