"強度
\
波段",Magenta,,
,,Algorithm,Regression
634,0.6584,0.4189,0.4328
635,0.666,0.4221,0.4362
636,0.672,0.4248,0.4391
637,0.678,0.4275,0.442
638,0.684,0.4302,0.4449
639,0.69,0.4329,0.4478
640,0.696,0.4356,0.4507
641,0.7012,0.4381,0.4534
642,0.7064,0.4407,0.4561
643,0.7116,0.4432,0.4588
644,0.7168,0.4457,0.4616
645,0.722,0.4482,0.4643
646,0.726,0.4504,0.4666
647,0.73,0.4526,0.469
648,0.734,0.4548,0.4713
649,0.738,0.457,0.4737
650,0.742,0.4592,0.476
651,0.7448,0.461,0.4779
652,0.7476,0.4627,0.4797
653,0.7504,0.4644,0.4816
654,0.7532,0.4661,0.4835
655,0.756,0.4679,0.4853
656,0.758,0.4692,0.4868
657,0.76,0.4705,0.4883
658,0.762,0.4719,0.4897
659,0.764,0.4732,0.4912
660,0.766,0.4746,0.4927
661,0.7676,0.4757,0.4939
662,0.7692,0.4768,0.4952
663,0.7708,0.478,0.4965
664,0.7724,0.4791,0.4978
665,0.774,0.4803,0.4991
666,0.7752,0.4812,0.5002
667,0.7764,0.4822,0.5012
668,0.7776,0.4831,0.5023
669,0.7788,0.484,0.5034
670,0.78,0.485,0.5045
671,0.781,0.4859,0.5056
672,0.782,0.4869,0.5067
673,0.783,0.4878,0.5079
674,0.784,0.4887,0.509
675,0.785,0.4897,0.5101
676,0.7862,0.4907,0.5114
677,0.7874,0.4917,0.5127
678,0.7886,0.4927,0.514
679,0.7898,0.4937,0.5152
680,0.791,0.4948,0.5165
681,0.7916,0.4955,0.5176
682,0.7922,0.4963,0.5187
683,0.7928,0.4971,0.5198
684,0.7934,0.4978,0.5209
685,0.794,0.4986,0.522
686,0.7948,0.4994,0.5231
687,0.7956,0.5002,0.5243
688,0.7964,0.501,0.5254
689,0.7972,0.5017,0.5266
690,0.798,0.5025,0.5277
691,0.7986,0.5033,0.529
692,0.7992,0.5041,0.5303
693,0.7998,0.5049,0.5316
694,0.8004,0.5057,0.5329
695,0.801,0.5065,0.5342
696,0.8016,0.5073,0.5355
697,0.8022,0.5081,0.5368
698,0.8028,0.5089,0.5382
699,0.8034,0.5098,0.5395
700,0.804,0.5106,0.5408
701,0.8044,0.5114,0.5421
702,0.8048,0.5122,0.5434
703,0.8052,0.513,0.5447
704,0.8056,0.5138,0.546
705,0.806,0.5146,0.5473
706,0.8062,0.5154,0.5485
707,0.8064,0.5162,0.5497
708,0.8066,0.5169,0.5509
709,0.8068,0.5177,0.5521
710,0.807,0.5185,0.5533
711,0.807,0.5191,0.5542
712,0.807,0.5197,0.555
713,0.807,0.5203,0.5559
714,0.807,0.5208,0.5568
715,0.807,0.5214,0.5577
716,0.807,0.522,0.5586
717,0.807,0.5226,0.5596
718,0.807,0.5232,0.5605
719,0.807,0.5239,0.5614
720,0.807,0.5245,0.5623
721,0.8076,0.5254,0.5635
722,0.8082,0.5263,0.5648
723,0.8088,0.5272,0.566
724,0.8094,0.5281,0.5672
725,0.81,0.529,0.5684
726,0.8106,0.5298,0.5694
727,0.8112,0.5305,0.5704
728,0.8118,0.5312,0.5714
729,0.8124,0.532,0.5724
730,0.813,0.5327,0.5734
731,0.8132,0.5332,0.5741
732,0.8134,0.5336,0.5749
733,0.8136,0.5341,0.5756
734,0.8138,0.5345,0.5764
735,0.814,0.535,0.5771
736,0.8138,0.5352,0.5776
737,0.8136,0.5354,0.5782
738,0.8134,0.5356,0.5787
739,0.8132,0.5359,0.5792
740,0.813,0.5361,0.5797
741,0.8124,0.5357,0.5796
742,0.8118,0.5353,0.5794
743,0.8112,0.5349,0.5792
744,0.8106,0.5345,0.5791
745,0.81,0.5341,0.5789
746,0.8096,0.5343,0.5794
747,0.8092,0.5344,0.5799
748,0.8088,0.5346,0.5804
749,0.8084,0.5347,0.581
750,0.808,0.5349,0.5815
751,0.8086,0.5357,0.5826
752,0.8092,0.5365,0.5838
753,0.8098,0.5373,0.585
754,0.8104,0.538,0.5861
755,0.811,0.5388,0.5873
756,0.8116,0.5399,0.5888
757,0.8122,0.5409,0.5902
758,0.8128,0.542,0.5917
759,0.8134,0.543,0.5932
760,0.814,0.5441,0.5947
761,0.8138,0.5443,0.5951
762,0.8136,0.5445,0.5956
763,0.8134,0.5447,0.596
764,0.8132,0.545,0.5965
765,0.813,0.5452,0.597
766,0.8074,0.5421,0.5938
767,0.8018,0.539,0.5906
768,0.7962,0.5359,0.5874
769,0.7906,0.5328,0.5842
770,0.785,0.5297,0.581
771,0.781,0.5276,0.5788
772,0.777,0.5254,0.5765
773,0.773,0.5232,0.5743
774,0.769,0.521,0.5721
775,0.765,0.5189,0.5699
776,0.7624,0.5177,0.5688
777,0.7598,0.5165,0.5677
778,0.7572,0.5153,0.5667
779,0.7546,0.5141,0.5656
780,0.752,0.5129,0.5645
